Graph_ID,Vertices,Edges,Algorithm,Total_Cost,Operations,Execution_Time_ms
1,4,5,Prim,6,8,0.07
1,4,5,Kruskal,6,32,0.06
2,5,7,Prim,16,12,0.03
2,5,7,Kruskal,16,46,0.03
3,6,11,Prim,12,17,0.04
3,6,11,Kruskal,12,70,0.02
4,10,15,Prim,34,25,0.04
4,10,15,Kruskal,34,122,0.03
5,12,30,Prim,42,43,0.07
5,12,30,Kruskal,42,216,0.04
6,15,32,Prim,51,47,0.07
6,15,32,Kruskal,51,273,0.08
7,20,32,Prim,89,55,0.08
7,20,32,Kruskal,89,321,0.07
8,25,61,Prim,86,90,0.12
8,25,61,Kruskal,86,522,0.09
9,30,110,Prim,435,177,0.18
9,30,110,Kruskal,435,1078,0.12
